SteamCCU,SteamComments,SteamFollowers
364548,610616,1949811
3257248,1179919,2810563
63681,65393,230265
12675,8359,87524
51403,18760,90787
,,
472962,174988,852390
92268,264703,604830
15417,9083,61279
,,
247709,398595,6294068
19406,13656,252170
,,
,,
,,
,,
97088,156090,376174
,,
29202,18850,37352
,,
15743,33027,98494
,,
103129,340161,596655
3755,4622,60939
,,
,,
25432,17574,58964
,,
,,
,,
93595,354531,696618
47887,23164,82390
14905,8446,47357
32498,57056,305790
29244,106253,132971
29498,15322,
,,
,,
,,
51650,29489,190576
44588,62900,345877
20449,13442,170069
121575,110485,271019
83446,250427,1052120
31410,9678,23944
,,
48356,229941,417587
4729,10936,167085
162657,49569,489938
,,
25874,141324,521384
42270,62234,67579
27406,51641,128153
19026,46831,233444
45876,117849,461960
16963,23815,273062
,,
,,
34811,28407,106334
74277,23616,223795
,,
,,
10349,32870,96608
,,
1723,89158,114915
2368,29190,184276
3140,46946,279854
20116,133993,244615
27301,13497,15422
5733,13968,160566
,,
32582,96647,537160
129975,139219,490639
18792,210414,404958
11793,3527,46751
29968,49880,285826
3498,2266,27523
23908,36378,391876
8118,24894,114072
2737,31983,111808
,,
4422,20397,76419
125315,48353,336343
1370,51672,126668
5623,88882,320474
2412,109323,282982
17762,41861,324672
5400,17762,120312
24919,177195,443663
24892,92543,391238
,,
,,
,,
,,
263,5446,40924
9878,7351,57252
161024,39167,343442
18260,129210,254064
4048,48676,244598
556,14120,81645
485,17201,228417
853,23835,65683
6665,61820,178801
18092,42780,265915
,,
,,
1372,18345,148784
278,13207,34288
,,
,,
88735,30314,53146
3690,29304,217355
13043,38532,124823
,,
10649,11359,129243
2875,8848,57294
,,
,,
45704,41787,384138
6129,31223,81392
,,
,,
,,
,,
6158,41589,296788
41750,8192,15719
3426,25740,132324
542,28356,125842
,,
,,
4223,24853,309797
31704,40199,161086
19357,57992,241718
6323,36614,215542
,,
24894,14027,72082
75666,9050,49948
8222,18870,213109
19149,62538,254860
13853,51037,322461
,,
24,1586,15323
933,11714,127958
5138,32712,202013
1034,19476,135459
,,117797
72533,19923,126690
377,17738,216135
2113,18331,108471
23109,61425,114315
31038,60819,313323
,,
596,27342,153837
25017,25749,47713
4743,39296,207910
,,
1565,30698,61046
5281,29727,240609
682,9852,40108
732,14032,120553
5047,10706,141939
467,16101,45289
184,7708,46108
22850,11126,99307
293,52886,90854
1873,5696,40702
5129,32780,71671
4274,5940,53681
79,7584,43865
928,,22855
14586,47977,136861
25574,22282,35039
87,,96692
4198,6607,28578
48668,58672,212597
61093,39229,173811
59917,,122330
5392,22724,97354
22210,39149,230628
,,
5568,33692,281463
,,
6298,24753,159862
3214,12983,73731
1009,15681,41707
46806,64054,195582
4635,18704,116641
2778,14715,159335
68183,31693,267202
75044,246991,1008071
1368,23490,109982
7344,58782,446762
557,26834,71430
,,
12106,34957,118121
687,7347,101152
885,10525,30024
1368,2847,12842
,,
60,4683,17258
,,
60,6210,30828
,,
,,
85,17775,68678
250,6630,136604
522,19181,104566
10863,26505,114653
,,
874,19597,187259
,,
2759,17038,83115
1646,5318,50594
1067,8372,56769
33895,12040,117367
591,6848,76191
223,3134,29682
93701,55994,410796
4402,13941,127617
94,12010,19621
,,
425,40936,195755
7684,10572,61723
,,
,,
698,26249,172167
,,
829,10476,106317
110,1625,24721
1629,1508,21474
262,10171,63171
60204,44975,147729
61535,136235,605584
6098,3263,98402
2136,2940,70487
65076,15462,134048
131,4756,16390
18211,53575,377064
70194,38860,176243
68322,28150,255039
4086,6950,73901
449,11310,39379
11577,30221,410472
,,
1735,901,10394
1038,9383,107296
459,35506,60046
191816,42003,154585
241,24252,90966
1298,7812,142049
14754,39554,152642
120,3585,29086
5757,17103,30143
41122,39130,228127
18029,,65504
1211,12499,71034
5106,29536,131824
,,
847,604,22697
378,13347,80608
10805,5021,104091
52485,25849,146171
3254,3253,100760
