Game,appid
Tile Cities,1957990
Dinkum,1062520
Handshakes,2171690
Inspector Waffles,1055850
Yerba Mate Tycoon,1404560
Placid Plastic Duck Simulator,1999360
Buddy Simulator 1984,1269950
The Planet Crafter,1284190
Hydroneer,1106840
The Wandering Village,1121640
Production Line,591370
Wartales,1527950
Stacklands,1948280
Bonding Ambivalence,1886070
Persona 4 Golden,1113000
Train Fever,304730
Watch Your Plastic Duck,2088360
Dungeons of Edera,1131240
My Jigsaw Adventures - Roads of Life,1224450
Core Keeper,1621690
Shipped,1037190
Avorion,445220
GROSS,1647420
Freedom Planet 2,595500
Punch A Bunch,1512590
EVERSPACE 2,1128920
Stationeers,544550
Valheim,892970
Lost Potato,1365010
Roll,1585910
Eggcelerate!,1535490
The Dungeon Beneath,1359120
Dread Hunger,1418630
Elong Plug,2172030
Big Ambitions,1331550
Out of Ammo,451840
Deep Rock Galactic,548430
The Pale Beyond,1266030
Octodad: Dadliest Catch,224480
Mortal Glory,1097530
Please Fix The Road,1383250
Barotrauma,602960
Noobs Want to Live,1737340
SpeedRunners,207140
Sands of Salzaar,1094520
Escape Simulator,1435790
Golfing Over It with Alva Majo,817510
Cygnus,1963520
Warsim: The Realm of Aslona,659540
Contraband Police,756800
Yi Xian: The Cultivation Card Game,1948800
Pawnbarian,1142080
Inscryption,1092790
Supraland,813630
Loop Hero,1282730
The Riftbreaker,780310
Battle Royale Tycoon,851930
Townscaper,1291340
ICARUS,1537160
pureya,1268960
West Hunt,1570330
Crusader Kings III,1158310
PostCollapse,509770
Ravenous Devils,1615290
Mixolumia,1414020
EVERSPACE,396750
Majotori,588730
Cthulhu Saves the World,107310
Salome's Kiss,1779960
Protolife,809440
Furi,423230
City Climber,538840
Highway Blossoms,451760
Son of a Witch,539400
Sifu,2138710
Hot Heat Reset: Chapter 1,2307370
LOST EMBER,563840
A Little Golf Journey,1232150
Nebula,468130
Project Heartbeat,1216230
Guns of Icarus Online,209080
Peglin,1296610
Induction,381890
Cultist Simulator,718670
Winter Falling,1285060
Gibbous - A Cthulhu Adventure,914020
Out of Ammo: Death Drive,569630
Missing Hiker,2250090
Eastshade,715560
Cauldrons of War - Barbarossa,1265220
Cosmic Star Heroine,256460
Primordia,227000
Mortal Online 2,1170950
Knock-knock,250380
Tinyfolks,1909420
Slime Rancher,433340
Tilecraft,2164880
Bloody Rally Show,926860
The Wreck,1687960
Hats and Hand Grenades,1257800
Larcin Lazer,1707400
Missing Hiker,2250090
The Companion,1392780
Cthulhu Saves Christmas,1057540
Will You Snail?,1115050
Cat Herder,2083180
Nightmare Reaper,1051690
