appid,categories,score,initialprice,languages
1737340,Single-player,,499,"Simplified Chinese, English, Traditional Chinese"
1957990,Single-player,,299,"English, Ukrainian, French, Dutch, German, Czech, Polish, Swedish, Spanish - Spain, Korean, Romanian, Italian, Vietnamese"
224480,Single-player,,1499,"English, Spanish - Spain, Russian, French, German, Korean, Hungarian, Romanian, Polish, Japanese, Simplified Chinese, Italian"
817510,Single-player,,499,"English, Spanish - Spain, Japanese, Korean, Finnish, Portuguese - Portugal, Russian, Simplified Chinese, French, Italian, German"
1216230,Online PvP,,1199,"English, Spanish - Spain, Catalan"
588730,Single-player,,599,"English, Spanish - Spain"
539400,Online Co-op,,1999,"English, Simplified Chinese, Ukrainian, Spanish - Spain, Portuguese - Brazil, Russian, French, Polish, Vietnamese, Korean, Spanish - Latin America, German, Turkish, Serbian, Arabic, Traditional Chinese, Belarusian"
1948800,Online PvP,,799,"English, Simplified Chinese, Traditional Chinese"
1621690,Online Co-op,,1599,"English, Simplified Chinese, Thai, German, Japanese, Korean"
381890,Single-player,,899,"English, Simplified Chinese, Spanish - Spain, Japanese, Russian, Italian, German, Korean, French, Dutch, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Traditional Chinese"
718670,Single-player,,1999,"English, Simplified Chinese, Russian, German, Japanese"
451760,Single-player,,1299,"English, Simplified Chinese, Russian"
1094520,Single-player,,1499,"English, Simplified Chinese"
1963520,Single-player,,2499,"English, Simplified Chinese"
1779960,Single-player,,1299,"English, Simplified Chinese"
1106840,Co-op,,1499,"English, Russian, Portuguese - Brazil, French, German, Turkish, Dutch, Polish, Spanish - Spain, Romanian, Simplified Chinese, Czech, Italian, Korean, Arabic, Japanese, Danish, Norwegian, Swedish"
809440,Single-player,,1199,"English, Russian"
1404560,Single-player,,499,"English, Polish, Spanish - Latin America, German, Turkish"
1142080,Single-player,,999,"English, Polish, French, Portuguese - Brazil, Spanish - Spain, Simplified Chinese, Traditional Chinese, Swedish, Italian, Japanese, Danish, Hungarian, Korean, Russian, Bulgarian, Finnish, Serbian, Spanish - Latin America, Ukrainian"
1113000,Single-player,87,1999,"English, Japanese, Korean, Traditional Chinese, French, Italian, German, Spanish - Spain, Simplified Chinese"
1435790,Online Co-op,,1499,"English, Japanese, Korean, Simplified Chinese, Traditional Chinese, French, German, Spanish - Spain, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Turkish, Italian"
1615290,Single-player,,499,"English, Italian, Simplified Chinese, Russian, French, Spanish - Spain, Korean, Japanese, Turkish, German, Thai"
1999360,Online Co-op,,199,"English, Italian, Japanese, Spanish - Spain, French, Russian, Portuguese - Brazil, Traditional Chinese, German, Ukrainian, Korean, Simplified Chinese, Turkish"
1359120,Single-player,,1499,"English, German, Spanish - Spain, Simplified Chinese, Japanese"
