Developer,Publisher,IP,Date,Gap,PlayerType,PriceMax,PriceMin,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,XBOX,NS,Youtube,Twitch,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamCCU,SteamComments,SteamFollowers,Douban,Google Trends,IsFamous
10,10,10,41961,1637,2,60,15,9063,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,147561294.8,17410321,10754429,0,813421,304053,8.3,97,10853,137,364548,610616,1949811,16544,2.272727273,1
8,9,4,42814,457,2,30,15,3512,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,388828920.8,59003454,32923046,0,69046,579861,5.1,86,1719,83,3257248,1179919,2810563,4390,25,1
9,9,10,42314,1210,2,60,10,3150,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,220869681.9,34622954,19928546,0,367258,167067,4.8,81,4187,112,63681,65393,230265,1536,1.086956522,1
8,9,10,41946,1578,2,60,15,1636,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,145042956,16678906,10364594,0,617510,30640,5.7,83,3704,110,12675,8359,87524,2162,12.5,1
10,10,9,43399,339,2,60,48,4239,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,747345177.6,87528639,48126611,0,175002,382860,8.1,97,10991,131,51403,18760,90787,5889,33.33333333,1
9,9,10,43004,344,2,60,7.5,1370,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,481220065.7,68268044,37860956,9309980,543622,143683,6,84,1681,124,,,,693,25,1
9,9,9,42318,1206,0,60,30,5535,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,221877150,34817998,20032502,0,973227,144758,6.6,88,15283,135,472962,174988,852390,4486,100,1
10,8,8,42143,1486,0,60,12,7378,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,181746766.2,26284823,15484427,0,270112,41007,9.4,93,32008,124,92268,264703,604830,1361,11.11111111,1
9,9,10,42678,846,2,60,20,896,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,333606432.4,52371958,29388542,0,207935,116685,3.8,78,2664,121,15417,9083,61279,1189,3.333333333,1
10,10,10,42853,885,2,60,42,709,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2704485,133081,186246,8.6,92,1544,95,0,0,0,3000,3.846153846,1
6,6,4,41499,885,2,30,1,5945,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,86592796.94,0,0,0,249917,37545,3.7,79,3673,51,247709,398595,6294068,617,7.142857143,1
8,9,10,43042,50,2,60,24,1847,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,502124794.8,70120962,38848538,0,185548,170705,4.3,80,2543,125,19406,13656,252170,1548,0.84,1
10,10,10,42500,1106,2,60,10,4355,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43692500,0,0,162276,102374,8.4,93,9875,113,0,0,0,685,9.090909091,1
9,10,10,43441,297,2,60,60,610,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28426545,314587,271926,8.7,93,2082,99,0,0,0,1743,,1
10,10,10,43035,703,0,60,40,1178,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666075,240726,209812,8.9,97,4418,113,0,0,0,8254,2.040816327,1
10,10,10,42797,941,0,60,42,1865,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,254765,278949,191576,8.6,97,12952,109,0,0,0,17540,1.818181818,1
8,8,8,43126,623,1,60,20,2590,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,551540925,74216886,41031614,0,243322,169921,7.6,90,2385,144,97088,156090,376174,3561,14.28571429,1
8,10,10,43350,346,0,60,20,3405,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,85139350,0,0,170615,233622,8.6,87,3860,116,0,0,0,1849,,1
