Date,Gap,PriceMax,PriceMin,Chinese,French,Japanese,Korean,Russian,MCUserScore,MCCriticScore,MCRatings,MCMedia,SteamCCU,SteamComments,SteamFollowers
41499,885,30,1,1,1,0,0,1,3.7,79,3673,51,247709,398595,6294068
41619,1663,35,23,1,1,1,1,1,6.2,69,386,11,93595,354531,696618
41733,1058,20,8,1,1,0,0,0,5.8,71,2493,64,32498,57056,305790
41337,1021,30,3,1,1,0,1,1,8.4,86,4077,18,29244,106253,132971
41334,1948,15,4,1,1,0,0,1,8.6,74,576,24,121575,110485,271019
41290,1992,25,5,1,1,1,1,1,8.7,79,1202,18,48356,229941,417587
41505,190,20,4,0,1,1,0,1,7.4,86,1705,45,42270,62234,67579
41450,1832,20,0,0,1,0,0,1,2.1,80,5724,82,10349,32870,96608
41358,262,15,7,1,1,1,1,1,8.6,94,8158,68,1723,89158,114915
41957,1601,20,5,1,1,1,1,1,8.4,83,828,62,3140,46946,279854
41358,1859,30,10,1,1,1,1,1,7.5,74,990,38,32582,96647,537160
41774,1508,15,3,1,1,1,1,1,7.9,85,247,17,1370,51672,126668
42073,735,30,7.5,1,1,0,1,1,8.9,85,1668,60,24892,92543,391238
41935,1347,40,10,1,1,1,1,1,5.5,81,1051,78,1372,18345,148784
41409,1347,15,7,1,1,0,0,1,7.6,77,386,28,278,13207,34288
41494,7,10,2,1,1,1,0,1,8.5,85,1312,40,6129,31223,81392
41388,7,15,1,1,0,0,0,0,7.7,83,219,47,41750,8192,15719
41688,1594,20,5,1,0,0,0,0,8.1,73,677,32,3426,25740,132324
42514,768,60,15,1,1,0,1,1,7.4,86,724,77,4223,24853,309797
41353,1533,40,10,1,1,1,0,1,8.3,88,661,46,19149,62538,254860
43364,365,20,17,1,0,0,0,0,7.2,72,516,33,72533,19923,126690
41499,1783,40,8,1,1,0,0,0,8.7,87,1144,34,23109,61425,114315
42499,783,40,10,1,1,0,0,1,8,78,748,57,31038,60819,313323
41946,1336,20,5,1,1,1,1,1,7.7,65,119,7,596,27342,153837
41571,1336,5,5,1,1,0,1,1,7.5,74,1361,17,25017,25749,47713
41392,1890,10,6,1,1,0,0,1,8,68,1062,21,1565,30698,61046
42691,591,45,13,1,1,1,1,0,7.7,84,362,57,5281,29727,240609
42117,1165,19.99,2,0,1,0,0,1,8.4,68,113,6,682,9852,40108
41802,1480,10,2,1,1,1,1,1,7.8,67,149,15,732,14032,120553
41753,1529,30,7.5,0,1,0,0,1,8,82,507,37,5047,10706,141939
41570,1529,10,2,1,1,1,0,1,7,60,294,19,467,16101,45289
41421,467,30,7.5,1,1,1,0,0,5.8,80,609,17,25574,22282,35039
42635,647,10,,1,1,1,1,1,7.6,79,28,10,87,0,96692
42425,857,25,6,1,1,1,0,1,8.5,83,644,29,61093,39229,173811
42432,850,10,4,1,1,1,1,1,6.9,73,1458,35,59917,0,122330
43214,366,30,13,1,1,1,1,1,8.4,84,498,66,5568,33692,281463
41767,1515,30,6,1,1,1,1,0,7.2,66,136,7,3214,12983,73731
41569,1515,6,3,1,1,0,0,0,8.5,91,519,4,1009,15681,41707
42527,755,40,15,1,1,0,0,1,7.2,83,482,37,46806,64054,195582
42052,1230,45,9,1,1,0,0,1,7.4,80,577,66,4635,18704,116641
