appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers,genres
1996010,Crow Country,"['Survival Horror', 'Exploration', ""1990's"", 'Female Protagonist', 'Third-Person Shooter', 'Horror', 'Action', 'Psychological Horror', 'Retro', 'Indie', 'Third Person', 'Story Rich', 'Old School', 'Stylized', 'Supernatural', 'Singleplayer', 'Gore', 'Violent', 'Puzzle', 'RPG']",19.99,4020,99,85671,1546053,16843,"['Action', 'Indie']"
1794680,Vampire Survivors,"['Action Roguelike', 'Bullet Hell', 'Pixel Graphics', 'Roguelite', '2D', 'Vampire', 'Indie', 'Singleplayer', 'Casual', 'Arcade', 'Action', 'Roguelike', 'RPG', 'Controller', 'Retro', 'Score Attack', 'Dark Fantasy', 'Action RPG', 'Local Co-Op', '1980s']",4.99,232062,0,8475340,30179470,122178,"['Action', 'Casual', 'Indie', 'RPG']"
620,Portal 2,"['Platformer', 'Puzzle', 'First-Person', 'Dark Humor', 'Story Rich', 'Puzzle Platformer', 'Funny', 'Female Protagonist', '3D Platformer', 'Action-Adventure', 'Action', 'FPS', 'Co-op', 'Physics', 'Sci-fi', 'Level Editor', 'Science', 'Comedy', 'Atmospheric', 'Adventure']",9.99,389932,99,20630946,118443819,344613,"['Action', 'Adventure']"
1145360,Hades,"['Action Roguelike', 'Roguelite', 'Hack and Slash', 'Indie', 'Mythology', 'Action', 'Roguelike', 'Great Soundtrack', 'Singleplayer', 'RPG', 'Story Rich', 'Dungeon Crawler', 'Replay Value', 'Isometric', 'Difficult', 'Action RPG', 'Hand-drawn', 'Atmospheric', 'Perma Death', 'Souls-like']",24.99,259025,98,7185235,106244860,289792,"['Action', 'Indie', 'RPG']"
1817230,Hi-Fi RUSH,"['Rhythm', 'Action', 'Hack and Slash', 'Singleplayer', 'Great Soundtrack', 'Cartoony', 'Action-Adventure', 'Platformer', 'Music', 'Character Action Game', 'Spectacle fighter', 'Colorful', 'Comedy', 'Stylized', ""Beat 'em up"", 'Anime', 'Cyberpunk', 'Third Person', 'Robots', 'Adventure']",29.99,29191,98,648888,15278799,75023,['Action']
546560,Half-Life: Alyx,"['VR', 'FPS', 'Horror', 'Story Rich', 'Female Protagonist', 'Shooter', 'Singleplayer', 'First-Person', 'Action', 'Sci-fi', 'Atmospheric', 'Zombies', 'Beautiful', 'Aliens', 'Adventure', 'Futuristic', 'Psychological Horror', 'Memes', 'Great Soundtrack', 'Gore']",59.99,88412,98,2095808,86007137,245374,"['Action', 'Adventure']"
294100,RimWorld,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building', 'Simulation', 'Singleplayer', 'Moddable', 'City Builder', 'Open World', 'Procedural Generation', '2D', 'Sci-fi', 'Indie', 'Space', 'Tactical RPG', 'Cartoony', 'Western']",34.99,186829,98,4226965,118093997,578098,"['Indie', 'Simulation', 'Strategy']"
460950,Katana ZERO,"['Pixel Graphics', 'Action', 'Great Soundtrack', 'Story Rich', 'Platformer', 'Cyberpunk', '2D Platformer', 'Indie', '2D', 'Hack and Slash', 'Fast-Paced', 'Violent', 'Difficult', 'Singleplayer', 'Time Manipulation', 'Gore', 'Ninja', 'Retro', 'Noir', 'Sci-fi']",14.99,64551,98,1482460,12707309,94868,"['Action', 'Indie']"
2379780,Balatro,"['Roguelike Deckbuilder', 'Card Game', 'Roguelike', 'Deckbuilding', 'Singleplayer', 'Strategy', 'Replay Value', 'Pixel Graphics', 'Turn-Based', 'Card Battler', 'Roguelite', 'Choices Matter', 'Casual', 'Difficult', 'Turn-Based Strategy', '2D', 'Relaxing', 'Arcade', 'Simulation', 'Procedural Generation']",14.99,84660,98,2235888,28142631,68651,"['Casual', 'Indie', 'Strategy']"
674140,Bugsnax,"['Creature Collector', 'Adventure', 'Singleplayer', 'LGBTQ+', 'Story Rich', 'Comedy', 'First-Person', 'Cute', 'Exploration', 'Puzzle', 'Cartoony', 'Colorful', 'Casual', 'Action', 'Investigation', 'Sandbox', 'Physics', 'Multiple Endings', 'Narration', 'Family Friendly']",24.99,5911,97,199787,2583705,10399,"['Action', 'Adventure', 'Casual', 'Indie']"
736260,Baba Is You,"['Puzzle', 'Indie', 'Difficult', 'Singleplayer', 'Logic', 'Pixel Graphics', 'Cute', 'Programming', '2D', 'Sokoban', 'Great Soundtrack', 'Minimalist', 'Casual', 'Level Editor', 'Top-Down', 'Retro', 'Strategy', 'Atmospheric', 'Surreal', 'Funny']",14.99,19869,98,931082,10312398,40953,['Indie']
413150,Stardew Valley,"['Farming Sim', 'Pixel Graphics', 'Life Sim', 'Multiplayer', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing']",14.99,710265,98,28701998,266013281,889165,"['Indie', 'RPG', 'Simulation']"
253230,A Hat in Time,"['Cute', '3D Platformer', 'Collectathon', 'Great Soundtrack', 'Female Protagonist', 'Adventure', 'Funny', 'Indie', 'Platformer', 'Colorful', 'Exploration', 'Third Person', 'Singleplayer', 'Co-op', 'Moddable', 'Open World', 'Comedy', 'Family Friendly', 'Action', 'Kickstarter']",29.99,49099,98,1038184,18457186,93094,"['Adventure', 'Indie']"
646570,Slay the Spire,"['Roguelike Deckbuilder', 'Card Game', 'Card Battler', 'Roguelike', 'Deckbuilding', 'Turn-Based', 'Strategy', 'Singleplayer', 'Roguelite', 'Replay Value', 'Indie', 'Difficult', 'Dungeon Crawler', 'RPG', 'Mouse only', '2D', 'Great Soundtrack', 'Procedural Generation', 'Fantasy', 'Casual']",24.99,156712,98,5821420,60669174,219202,"['Indie', 'Strategy']"
607080,Psychonauts 2,"['3D Platformer', 'Story Rich', 'Singleplayer', 'Psychological', 'Comedy', 'Adventure', 'Funny', 'Platformer', 'Psychedelic', 'Cartoony', 'Colorful', 'Action', 'Sequel', 'Surreal', 'Third Person', 'Action-Adventure', 'Cult Classic', 'Great Soundtrack', 'Controller', 'Arcade']",59.99,10852,97,268324,6097599,38858,"['Action', 'Adventure']"
