appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers,genres
1996010,Crow Country,"['Survival Horror', 'Exploration', ""1990's"", 'Female Protagonist', 'Third-Person Shooter', 'Horror', 'Action', 'Psychological Horror', 'Retro', 'Indie', 'Third Person', 'Story Rich', 'Old School', 'Stylized', 'Supernatural', 'Singleplayer', 'Gore', 'Violent', 'Puzzle', 'RPG']",19.99,4000,99,84955,1534794,16793,"['Action', 'Indie']"
1794680,Vampire Survivors,"['Action Roguelike', 'Bullet Hell', 'Pixel Graphics', 'Roguelite', '2D', 'Vampire', 'Indie', 'Singleplayer', 'Casual', 'Arcade', 'Action', 'Roguelike', 'RPG', 'Controller', 'Retro', 'Score Attack', 'Dark Fantasy', 'Action RPG', 'Local Co-Op', '1980s']",4.99,232011,99,8472682,30173570,122128,"['Action', 'Casual', 'Indie', 'RPG']"
620,Portal 2,"['Platformer', 'Puzzle', 'First-Person', 'Dark Humor', 'Story Rich', 'Puzzle Platformer', 'Funny', 'Female Protagonist', '3D Platformer', 'Action-Adventure', 'Action', 'FPS', 'Co-op', 'Physics', 'Sci-fi', 'Level Editor', 'Science', 'Comedy', 'Atmospheric', 'Adventure']",9.99,389750,99,20609629,118347084,344511,"['Action', 'Adventure']"
1145360,Hades,"['Action Roguelike', 'Roguelite', 'Hack and Slash', 'Indie', 'Mythology', 'Action', 'Roguelike', 'Great Soundtrack', 'Singleplayer', 'RPG', 'Story Rich', 'Dungeon Crawler', 'Replay Value', 'Isometric', 'Difficult', 'Action RPG', 'Hand-drawn', 'Atmospheric', 'Perma Death', 'Souls-like']",24.99,258796,98,7184246,106286363,289712,"['Action', 'Indie', 'RPG']"
1817230,Hi-Fi RUSH,"['Rhythm', 'Action', 'Hack and Slash', 'Singleplayer', 'Great Soundtrack', 'Cartoony', 'Action-Adventure', 'Platformer', 'Music', 'Character Action Game', 'Spectacle fighter', 'Colorful', 'Comedy', 'Stylized', ""Beat 'em up"", 'Anime', 'Cyberpunk', 'Third Person', 'Robots', 'Adventure']",29.99,29133,98,649059,15282412,75013,['Action']
546560,Half-Life: Alyx,"['VR', 'FPS', 'Horror', 'Story Rich', 'Female Protagonist', 'Shooter', 'Singleplayer', 'First-Person', 'Action', 'Sci-fi', 'Atmospheric', 'Zombies', 'Beautiful', 'Aliens', 'Adventure', 'Futuristic', 'Psychological Horror', 'Memes', 'Great Soundtrack', 'Gore']",59.99,88382,98,2091135,85904264,245299,"['Action', 'Adventure']"
294100,RimWorld,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building', 'Simulation', 'Singleplayer', 'Moddable', 'City Builder', 'Open World', 'Procedural Generation', '2D', 'Sci-fi', 'Indie', 'Space', 'Tactical RPG', 'Western', 'Cartoony']",34.99,186713,98,4223203,118001683,577941,"['Indie', 'Simulation', 'Strategy']"
460950,Katana ZERO,"['Pixel Graphics', 'Action', 'Great Soundtrack', 'Story Rich', 'Platformer', 'Cyberpunk', '2D Platformer', 'Indie', '2D', 'Hack and Slash', 'Fast-Paced', 'Violent', 'Difficult', 'Singleplayer', 'Time Manipulation', 'Gore', 'Ninja', 'Retro', 'Noir', 'Sci-fi']",14.99,64511,98,1481248,12698417,94853,"['Action', 'Indie']"
2379780,Balatro,"['Roguelike Deckbuilder', 'Card Game', 'Roguelike', 'Deckbuilding', 'Singleplayer', 'Strategy', 'Replay Value', 'Pixel Graphics', 'Turn-Based', 'Card Battler', 'Roguelite', 'Choices Matter', 'Casual', 'Turn-Based Strategy', 'Difficult', '2D', 'Relaxing', 'Arcade', 'Simulation', 'Procedural Generation']",14.99,83007,98,2214490,27890135,68076,"['Casual', 'Indie', 'Strategy']"
674140,Bugsnax,"['Creature Collector', 'Adventure', 'Singleplayer', 'LGBTQ+', 'Story Rich', 'Comedy', 'First-Person', 'Cute', 'Exploration', 'Puzzle', 'Cartoony', 'Colorful', 'Casual', 'Action', 'Investigation', 'Sandbox', 'Physics', 'Multiple Endings', 'Narration', 'Family Friendly']",24.99,5888,97,198817,2577645,10391,"['Action', 'Adventure', 'Casual', 'Indie']"
736260,Baba Is You,"['Puzzle', 'Indie', 'Difficult', 'Singleplayer', 'Logic', 'Pixel Graphics', 'Cute', 'Programming', '2D', 'Sokoban', 'Great Soundtrack', 'Minimalist', 'Casual', 'Level Editor', 'Top-Down', 'Retro', 'Strategy', 'Atmospheric', 'Surreal', 'Funny']",14.99,19855,98,930467,10304380,40919,['Indie']
413150,Stardew Valley,"['Farming Sim', 'Pixel Graphics', 'Life Sim', 'Multiplayer', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing']",14.99,709428,98,28649808,265593656,888223,"['Indie', 'RPG', 'Simulation']"
253230,A Hat in Time,"['Cute', '3D Platformer', 'Collectathon', 'Great Soundtrack', 'Female Protagonist', 'Adventure', 'Funny', 'Indie', 'Platformer', 'Colorful', 'Exploration', 'Third Person', 'Singleplayer', 'Co-op', 'Moddable', 'Open World', 'Comedy', 'Family Friendly', 'Action', 'Kickstarter']",29.99,49094,98,1037452,18446787,93070,"['Adventure', 'Indie']"
646570,Slay the Spire,"['Roguelike Deckbuilder', 'Card Game', 'Card Battler', 'Roguelike', 'Deckbuilding', 'Turn-Based', 'Strategy', 'Singleplayer', 'Roguelite', 'Replay Value', 'Indie', 'Difficult', 'Dungeon Crawler', 'RPG', 'Mouse only', '2D', 'Great Soundtrack', 'Procedural Generation', 'Fantasy', 'Casual']",24.99,156583,98,5809934,60599809,219158,"['Indie', 'Strategy']"
607080,Psychonauts 2,"['3D Platformer', 'Story Rich', 'Singleplayer', 'Psychological', 'Comedy', 'Adventure', 'Funny', 'Platformer', 'Psychedelic', 'Cartoony', 'Colorful', 'Action', 'Sequel', 'Surreal', 'Third Person', 'Action-Adventure', 'Cult Classic', 'Great Soundtrack', 'Controller', 'Arcade']",59.99,10845,97,267564,6084603,38848,"['Action', 'Adventure']"
433340,Slime Rancher,"['Cute', 'Exploration', 'Adventure', 'Singleplayer', 'Open World', 'First-Person', 'Colorful', 'Funny', 'Sandbox', 'Casual', 'Simulation', 'Management', 'Fantasy', 'Indie', 'Family Friendly', 'Great Soundtrack', 'Female Protagonist', 'Action', 'Early Access', 'FPS']",19.99,119157,98,4406751,34550958,250050,"['Action', 'Adventure', 'Indie', 'Simulation']"
105600,Terraria,"['Open World Survival Craft', 'Sandbox', 'Survival', '2D', 'Multiplayer', 'Adventure', 'Pixel Graphics', 'Crafting', 'Building', 'Exploration', 'Co-op', 'Open World', 'Online Co-Op', 'Indie', 'Action', 'RPG', 'Singleplayer', 'Replay Value', 'Platformer', 'Atmospheric']",9.99,1279531,98,28764819,141483922,854048,"['Action', 'Adventure', 'Indie', 'RPG']"
504230,Celeste,"['Precision Platformer', 'Pixel Graphics', 'Difficult', 'Great Soundtrack', 'Indie', 'Platformer', '2D Platformer', 'Female Protagonist', 'Singleplayer', '2D', 'Story Rich', 'Adventure', 'Cute', 'Puzzle Platformer', 'Atmospheric', 'LGBTQ+', 'Action', 'Side Scroller', 'Retro', 'Exploration']",19.99,100683,98,2606265,17140056,103242,"['Action', 'Adventure', 'Indie']"
48700,Mount & Blade: Warband,"['Medieval', 'RPG', 'Open World', 'Strategy', 'Sandbox', 'Multiplayer', 'Action', 'Moddable', 'Military', 'Adventure', 'Horses', 'Singleplayer', 'Realistic', 'First-Person', 'Historical', 'Third Person', 'Simulation', 'Hack and Slash', 'Fantasy', 'Indie']",19.99,159405,98,4770485,32179711,186767,"['Action', 'RPG']"
1332010,Stray,"['Cats', 'Adventure', 'Cyberpunk', 'Atmospheric', 'Singleplayer', 'Cute', 'Exploration', 'Robots', 'Beautiful', 'Puzzle', 'Third Person', 'Horror', 'Sci-fi', 'Indie', 'Dystopian', 'Open World', 'Mystery', 'Action', 'Colorful', 'Stealth']",29.99,138389,97,2649617,54098629,355000,"['Adventure', 'Indie']"
787480,Phoenix Wright: Ace Attorney Trilogy,"['Detective', 'Visual Novel', 'Story Rich', 'Mystery', 'Great Soundtrack', 'Anime', 'Singleplayer', 'Adventure', 'Crime', 'Puzzle', 'Point & Click', 'Funny', 'Classic', 'Cult Classic', 'Comedy', '2D', 'Conversation', 'Memes', 'Dynamic Narration', 'Casual']",29.99,29395,98,1248707,14178971,67360,['Adventure']
1290000,PowerWash Simulator,"['Casual', 'Relaxing', 'Simulation', 'Multiplayer', 'First-Person', '3D', 'Sandbox', 'Funny', 'Co-op', 'Immersive Sim', 'Online Co-Op', 'Family Friendly', 'Story Rich', 'Colorful', 'Realistic', 'Wholesome', 'Singleplayer', 'Indie', 'Cozy', 'Atmospheric']",24.99,43805,97,1504220,29056633,76042,"['Casual', 'Indie', 'Simulation']"
250900,The Binding of Isaac: Rebirth,"['Action Roguelike', 'Roguelike', 'Indie', 'Replay Value', 'Difficult', 'Pixel Graphics', 'Dungeon Crawler', 'Great Soundtrack', 'Singleplayer', 'Dark', '2D', 'Local Co-Op', 'Remake', 'Gore', 'Procedural Generation', 'Roguelite', 'Atmospheric', 'Action', 'Co-op', 'Horror']",14.99,287066,98,7248379,62407546,328948,['Action']
1336490,Against the Storm,"['Strategy', 'Simulation', 'City Builder', 'Base Building', 'Management', 'Building', 'Grand Strategy', 'Colony Sim', 'Moddable', 'Resource Management', 'Open World', 'Sandbox', 'RTS', 'Survival', 'Singleplayer', 'Historical', 'Economy', '4X', 'Real-Time with Pause', 'Replay Value']",29.99,26655,95,928945,15051751,122392,"['Simulation', 'Strategy']"
1061910,Metal: Hellsinger,"['Rhythm', 'FPS', 'Atmospheric', 'Singleplayer', 'Music', 'Shooter', 'Action', 'Demons', 'Combat', 'First-Person', 'Female Protagonist', 'Adventure', 'Score Attack', '3D', 'Dark Fantasy', 'Dark', 'Stylized', 'Cinematic', 'Narration', 'Fantasy']",29.99,13652,96,523932,8429312,56301,"['Action', 'Adventure']"
213670,South Park™: The Stick of Truth™,"['RPG', 'Comedy', 'Adventure', 'Funny', 'Dark Humor', 'Turn-Based', 'Singleplayer', 'Action', 'Mature', '2D', 'Satire', 'Nudity', 'Cartoon', 'Open World', 'Story Rich', 'Fantasy', 'Epic', 'Turn-Based Strategy', 'Zombies', 'JRPG']",29.99,60718,98,2926378,35930660,118383,"['Action', 'Adventure', 'RPG']"
1562700,SANABI,"['Pixel Graphics', 'Action', 'Story Rich', 'Cyberpunk', 'Adventure', '2D Platformer', 'Action-Adventure', '2D', 'Singleplayer', 'Platformer', 'Indie', 'Retro', 'Difficult', 'Side Scroller', 'Atmospheric', 'Great Soundtrack', 'Precision Platformer', 'Linear', 'Sci-fi', 'Dystopian']",14.99,30027,98,490253,4970417,25748,"['Action', 'Adventure', 'Indie']"
466630,The Pedestrian,"['Puzzle', 'Puzzle Platformer', 'Logic', 'Side Scroller', 'Platformer', 'Atmospheric', '2D Platformer', 'Female Protagonist', '2.5D', '3D', 'Building', 'Mystery', 'Adventure', 'Relaxing', 'Colorful', 'Cute', 'Surreal', 'Minimalist', 'Family Friendly', 'Emotional']",19.99,4308,97,119272,1315179,16027,"['Adventure', 'Indie']"
2375550,Like a Dragon Gaiden: The Man Who Erased His Name,"['Action', ""Beat 'em up"", 'Action RPG', 'Action-Adventure', 'Violent', 'Story Rich', 'Sexual Content', 'Martial Arts', 'Singleplayer', 'JRPG', 'Open World', 'Comedy', 'Gore', 'Adventure', 'Hack and Slash', 'Great Soundtrack', 'Emotional', 'Mature', 'Dog', 'Third Person']",49.99,8023,97,247761,9723594,35191,"['Action', 'Adventure']"
205100,Dishonored,"['Stealth', 'First-Person', 'Assassin', 'Action', 'Steampunk', 'Singleplayer', 'Atmospheric', 'Story Rich', 'Multiple Endings', 'Adventure', 'Dark', 'Magic', 'Dystopian', 'FPS', 'RPG', 'Replay Value', 'Immersive Sim', 'Fantasy', 'Open World', 'Shooter']",9.99,78076,98,3814729,25162781,91937,"['Action', 'Adventure']"
220,Half-Life 2,"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian', 'Atmospheric', 'Zombies', 'Silent Protagonist', 'Physics', 'Aliens', 'Great Soundtrack', 'Horror', 'Multiplayer', 'Puzzle', 'Moddable']",9.99,190544,98,11043894,42681448,91878,['Action']
