ds,y,promotion
2022/8/21,24736,0.1
2022/8/22,24890,0.1
2022/8/23,25068,0.1
2022/8/24,25270,0.1
2022/8/25,25746,0.1
2022/8/26,26365,0.1
2022/8/27,26796,0.1
2022/8/28,27224,0.1
2022/8/29,27579,0.1
2022/8/30,28007,0
2022/8/31,29361,0
2022/9/1,29964,0
2022/9/2,30317,0
2022/9/3,30640,0
2022/9/4,30934,0
2022/9/5,31178,0
2022/9/6,31496,0
2022/9/7,31675,0
2022/9/8,31793,0
2022/9/9,31931,0
2022/9/10,32084,0
2022/9/11,32215,0
2022/9/12,32332,0
2022/9/13,32416,0
2022/9/14,32489,0
2022/9/15,32560,0
2022/9/16,32616,0
2022/9/17,32697,0
2022/9/18,32787,0
2022/9/19,32843,0
2022/9/20,32893,0
2022/9/21,32937,0
2022/9/22,32984,0
2022/9/23,33027,0
2022/9/24,33080,0
2022/9/25,33137,0
2022/9/26,33184,0
2022/9/27,33239,0
2022/9/28,33263,0
2022/9/29,33299,0
2022/9/30,33335,0.2
2022/10/1,33408,0.2
2022/10/2,33491,0.2
2022/10/3,33552,0.2
2022/10/4,33621,0.2
2022/10/5,33685,0.2
2022/10/6,33727,0.2
2022/10/7,33763,0.2
2022/10/8,33804,0.2
2022/10/9,33853,0.2
2022/10/10,33911,0.2
2022/10/11,33954,0
2022/10/12,33992,0
2022/10/13,34040,0
2022/10/14,34071,0
2022/10/15,34091,0
2022/10/16,34121,0
