,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,announcement,announcement_lower,announcement_upper,holidays,holidays_lower,holidays_upper,release,release_lower,release_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-09-15,5306.560350000001,46831.2,1766.3600739413575,1805.242395275312,5306.560350000001,5306.560350000001,-3521.4496674655984,-3521.4496674655984,-3521.4496674655984,-3512.983929,-3512.983929,-3512.983929,-3512.983929,-3512.983929,-3512.983929,0.0,0.0,0.0,-8.465738465598522,-8.465738465598522,-8.465738465598522,0.0,0.0,0.0,1785.1106825344023
1,2022-09-16,5402.689525934662,46831.2,2829.816185662962,2868.981720553865,5402.689525934662,5402.689525934662,-2553.5996873463696,-2553.5996873463696,-2553.5996873463696,-2547.8280204,-2547.8280204,-2547.8280204,-2547.8280204,-2547.8280204,-2547.8280204,0.0,0.0,0.0,-5.771666946369916,-5.771666946369916,-5.771666946369916,0.0,0.0,0.0,2849.0898385882924
2,2022-09-17,5498.8162878882185,46831.2,3545.103037580931,3583.6882045257803,5498.8162878882185,5498.8162878882185,-1934.7251499220806,-1934.7251499220806,-1934.7251499220806,-1940.1190510000001,-1940.1190510000001,-1940.1190510000001,-1940.1190510000001,-1940.1190510000001,-1940.1190510000001,0.0,0.0,0.0,5.3939010779193355,5.3939010779193355,5.3939010779193355,0.0,0.0,0.0,3564.091137966138
3,2022-09-18,5594.943049841775,46831.2,3960.623129098235,4000.1518880145863,5594.943049841775,5594.943049841775,-1614.8783809592092,-1614.8783809592092,-1614.8783809592092,-1618.3574861999998,-1618.3574861999998,-1618.3574861999998,-1618.3574861999998,-1618.3574861999998,-1618.3574861999998,0.0,0.0,0.0,3.47910524079053,3.47910524079053,3.47910524079053,0.0,0.0,0.0,3980.064668882566
4,2022-09-19,5691.0698117953325,46831.2,4260.275129363667,4299.539436845065,5691.0698117953325,5691.0698117953325,-1410.995065982142,-1410.995065982142,-1410.995065982142,-1419.7424644,-1419.7424644,-1419.7424644,-1419.7424644,-1419.7424644,-1419.7424644,0.0,0.0,0.0,8.747398417857994,8.747398417857994,8.747398417857994,0.0,0.0,0.0,4280.07474581319
5,2022-09-20,5787.196573748889,46831.2,4581.780523270119,4621.948726563386,5787.196573748889,5787.196573748889,-1185.1225349677661,-1185.1225349677661,-1185.1225349677661,-1189.7544412,-1189.7544412,-1189.7544412,-1189.7544412,-1189.7544412,-1189.7544412,0.0,0.0,0.0,4.6319062322340585,4.6319062322340585,4.6319062322340585,0.0,0.0,0.0,4602.074038781123
6,2022-09-21,5883.323335702446,46831.2,4910.336594389999,4947.128557758877,5883.323335702446,5883.323335702446,-953.2714567568283,-953.2714567568283,-953.2714567568283,-945.2565512,-945.2565512,-945.2565512,-945.2565512,-945.2565512,-945.2565512,0.0,0.0,0.0,-8.014905556828408,-8.014905556828408,-8.014905556828408,0.0,0.0,0.0,4930.051878945617
7,2022-09-22,5978.884099016522,46831.2,5179.996450127133,5218.881111712802,5978.884099016522,5978.884099016522,-778.8194654656038,-778.8194654656038,-778.8194654656038,-770.353727,-770.353727,-770.353727,-770.353727,-770.353727,-770.353727,0.0,0.0,0.0,-8.465738465603867,-8.465738465603867,-8.465738465603867,0.0,0.0,0.0,5200.064633550918
8,2022-09-23,6074.444862330598,46831.2,5440.399980727997,5477.861643272025,6074.444862330598,6074.444862330598,-616.3919759463639,-616.3919759463639,-616.3919759463639,-610.620309,-610.620309,-610.620309,-610.620309,-610.620309,-610.620309,0.0,0.0,0.0,-5.771666946363906,-5.771666946363906,-5.771666946363906,0.0,0.0,0.0,5458.052886384234
9,2022-09-24,6170.005625644674,46831.2,5674.726936389691,5713.058678955528,6170.005625644674,6170.005625644674,-476.95184852207365,-476.95184852207365,-476.95184852207365,-482.3457496,-482.3457496,-482.3457496,-482.3457496,-482.3457496,-482.3457496,0.0,0.0,0.0,5.3939010779263885,5.3939010779263885,5.3939010779263885,0.0,0.0,0.0,5693.053777122601
10,2022-09-25,6265.5663889587495,46831.2,5924.610805988491,5963.9733260069315,6265.5663889587495,6265.5663889587495,-321.5465941992176,-321.5465941992176,-321.5465941992176,-325.02569944,-325.02569944,-325.02569944,-325.02569944,-325.02569944,-325.02569944,0.0,0.0,0.0,3.479105240782355,3.479105240782355,3.479105240782355,0.0,0.0,0.0,5944.019794759532
11,2022-09-26,6361.127152272826,46831.2,6125.1527070508855,6165.172338836028,6361.127152272826,6361.127152272826,-216.10636422214506,-216.10636422214506,-216.10636422214506,-224.85376264,-224.85376264,-224.85376264,-224.85376264,-224.85376264,-224.85376264,0.0,0.0,0.0,8.747398417854939,8.747398417854939,8.747398417854939,0.0,0.0,0.0,6145.0207880506805
12,2022-09-27,6456.687915586903,46831.2,6288.509171604132,6326.745681014293,6456.687915586903,6456.687915586903,-148.6735393077866,-148.6735393077866,-148.6735393077866,-153.30544554,-153.30544554,-153.30544554,-153.30544554,-153.30544554,-153.30544554,0.0,0.0,0.0,4.631906232213395,4.631906232213395,4.631906232213395,0.0,0.0,0.0,6308.014376279116
13,2022-09-28,6547.090708778901,46831.2,6519.2026468383265,6558.912033481622,6547.090708778901,6547.090708778901,-8.014905556823765,-8.014905556823765,-8.014905556823765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.014905556823765,-8.014905556823765,-8.014905556823765,0.0,0.0,0.0,6539.075803222077
14,2022-09-29,6637.493501970899,46831.2,6609.643875237853,6648.29742657648,6637.493501970899,6637.493501970899,-8.465738465599319,-8.465738465599319,-8.465738465599319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.465738465599319,-8.465738465599319,-8.465738465599319,0.0,0.0,0.0,6629.0277635053
15,2022-09-30,6727.896295162897,46831.2,6702.50325425632,6742.346759289399,6727.896295162897,6727.896295162897,-5.771666946393699,-5.771666946393699,-5.771666946393699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.771666946393699,-5.771666946393699,-5.771666946393699,0.0,0.0,0.0,6722.124628216504
16,2022-10-01,6818.2990883548955,46831.2,6803.5455075758555,6843.023842877137,6818.2990883548955,6818.2990883548955,5.393901077921445,5.393901077921445,5.393901077921445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.393901077921445,5.393901077921445,5.393901077921445,0.0,0.0,0.0,6823.692989432817
17,2022-10-02,6908.701881546893,46831.2,6891.8838627025525,6931.759095217062,6908.701881546893,6908.701881546893,3.4791052408001217,3.4791052408001217,3.4791052408001217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4791052408001217,3.4791052408001217,3.4791052408001217,0.0,0.0,0.0,6912.180986787693
18,2022-10-03,6999.104674738893,46831.2,6989.377429041923,7026.481269753186,6999.104674738893,6999.104674738893,8.747398417869254,8.747398417869254,8.747398417869254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.747398417869254,8.747398417869254,8.747398417869254,0.0,0.0,0.0,7007.852073156762
