Sales,Date,Gap,PriceMax,PriceMin,Rawg,Youtube,TwitchPChannel,TwitchPViewer,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamCCU,SteamComments,SteamFollowers,Douban,Google Trends
75000000,41961,1637,60,15,9063,813421,5847,304053,8.3,97,10853,137,364548,610616,1949811,16544,2.272727273
50000000,42814,457,30,15,3512,69046,6473,579861,5.1,86,1719,83,3257248,1179919,2810563,4390,25
38171428.57,42314,1210,60,10,3150,367258,4443,167067,4.8,81,4187,112,63681,65393,230265,1536,1.086956522
31114285.71,41946,1578,60,15,1636,617510,87,30640,5.7,83,3704,110,12675,8359,87524,2162,12.5
30000000,43700,378,60,60,708,951957,13777,451470,3.7,81,13785,127,,,,1076,6.25
26500000,43399,339,60,48,4239,175002,8785,382860,8.1,97,10991,131,51403,18760,90787,5889,33.33333333
24000000,43004,344,60,7.5,1370,543622,1550,143683,6,84,1681,124,,,,693,25
21300000,42318,1206,60,30,5535,973227,791,144758,6.6,88,15283,135,472962,174988,852390,4486,100
20000000,42143,1486,60,12,7378,270112,700,41007,9.4,93,32008,124,92268,264703,604830,1361,11.11111111
19428571.43,42678,846,60,20,896,207935,1331,116685,3.8,78,2664,121,15417,9083,61279,1189,3.333333333
19010000,42853,885,60,42,709,133081,377,186246,8.6,92,1544,95,,,,3000,3.846153846
18643807,41499,885,30,1,5945,249917,294,37545,3.7,79,3673,51,247709,398595,6294068,617,7.142857143
16666666,43042,50,60,24,1847,185548,2811,170705,4.3,80,2543,125,19406,13656,252170,1548,0.84
16250000,42500,1106,60,10,4355,162276,739,102374,8.4,93,9875,113,,,,685,9.090909091
15710000,43441,297,60,60,610,314587,3619,271926,8.7,93,2082,99,,,,1743,0
15380000,43035,703,60,40,1178,240726,1047,209812,8.9,97,4418,113,,,,8254,2.040816327
14540000,42797,941,60,42,1865,278949,1408,191576,8.6,97,12952,109,,,,17540,1.818181818
14100000,43126,623,60,20,2590,243322,5262,169921,7.6,90,2385,144,97088,156090,376174,3561,14.28571429
13200000,43350,346,60,20,3405,170615,4397,233622,8.6,87,3860,116,,,,1849,0
13000000,44175,1,60,60,3473,375867,35125,1140960,7.1,86,35323,112,1054388,259357,982459,3859,100
12000000,43350,248,60,10,395,94025,2267,47830,4.3,83,642,80,29202,18850,37352,579,4.166666667
11770000,43910,11,60,60,148,25094,4403,232808,5.4,91,3166,63,,,,4275,7.692307692
11280000,43420,271,60,60,224,166773,1601,161172,6,80,2416,162,,,,1594,4.545454545
11000000,42108,1453,60,7,3748,449258,235,105232,7.8,86,1896,112,15743,33027,98494,274,16.66666667
11000000,42472,1258,20,9,2791,93860,117,173332,8.6,85,1716,101,,,,714,0.77
