Sales,MCUScore
75000000,8.3
50000000,5.1
38171400,4.8
31114300,5.7
30000000,3.7
26500000,8.1
24000000,6
21300000,6.6
20000000,9.4
19428600,3.8
19010000,8.6
18643800,3.7
16666700,4.3
16250000,8.4
15710000,8.7
15380000,8.9
14540000,8.6
14100000,7.6
13200000,8.6
13000000,7.1
12000000,4.3
11770000,5.4
11280000,6
11000000,7.8
11000000,8.6
10500000,8.5
10000000,8.5
10000000,9.1
10000000,8.4
10000000,4.3
10000000,9.1
10000000,6.7
9280000,8.5
9147240,6.2
9000000,6.4
8500000,6.3
8500000,5.8
8500000,8.4
8400000,7.8
8200000,7.4
8000000,6.1
8000000,8.2
7590000,7.5
7500000,8.7
7000000,5.6
7000000,7.6
7000000,7.9
7000000,8
6800000,7.9
6007740,8.6
6000000,5.3
6000000,9.1
6000000,1.4
6000000,4.1
6000000,8.7
5982550,8.7
5590000,8.5
5500000,6.9
5500000,8
5370000,8.7
5300000,7.3
5275910,7.4
5210000,6.3
5000000,7.8
5000000,8.4
5000000,7.9
5000000,7.7
5000000,6.5
5000000,8.3
5000000,1.2
5000000,7.1
5000000,8.6
4700000,9
4700000,6.7
4700000,7.9
4654960,2.1
4590000,7.1
4563630,8.6
4500000,8.4
4309360,7.2
4200000,3.4
4120000,7.4
4100000,8
4000000,7.5
4000000,8.8
4000000,4
4000000,8.7
4000000,7.7
4000000,7.2
4000000,8.9
4000000,6.8
4000000,4.6
4000000,8.2
3930000,8.5
3900000,3.6
3800000,8
3700000,5.8
3605150,7.9
3600000,8.5
3600000,8.3
3571430,6.8
3500000,8.1
3500000,8
3500000,7.1
3500000,8.8
3250000,8.9
3200000,8.7
3130000,8.5
3010000,4.8
3000000,8.9
3000000,7.8
3000000,8.6
3000000,7.5
3000000,8
3000000,8.6
3000000,5.1
3000000,8.2
3000000,8.0 
3000000,8.8
3000000,8
3000000,7.5
2939570,8.3
2820000,6.9
2819050,7.6
2800000,9
2750000,7.2
2750000,7.1
2700000,8.7
2606580,5.5
2602290,7.6
2600000,6.9
2560000,7.4
2500000,8.7
2500000,7.9
2500000,8
2500000,8
2500000,8.5
2500000,7.8
2500000,8
2460000,3.3
2400000,9.3
2400000,7.3
2314290,6.6
2306780,8.5
2300000,6.4
2290000,8.7
2250000,8.7
2170000,8.7
2157140,7.4
2153210,7.7
2147440,8.1
2100000,8.5
2100000,6.8
2100000,7.9
2085600,7.4
2070000,8.4
2000000,6
2000000,7.3
2000000,8.2
2000000,8.5
2000000,8.3
2000000,6.3
2000000,9.2
2000000,7.4
2000000,6.5
2000000,5.8
2000000,7.2
2000000,8.3
2000000,8.1
2000000,6.5
2000000,8.4
2000000,7.6
2000000,8.1
2000000,7.1
2000000,6.3
2000000,7.7
2000000,7.8
2000000,8
2000000,8.2
2000000,7.2
2000000,7.7
2000000,7.8
1983660,8.7
1967020,8
1900000,7.6
1853780,7.7
1851870,7.5
1800000,6.2
1700000,8.7
1696900,8
1682730,7.7
1631860,8.4
1566670,7.8
1516230,8
1514180,7
1500000,7.3
1500000,8.9
1500000,7.7
1500000,6.6
1500000,8.2
1500000,7.9
1500000,7.7
1500000,7.7
1500000,7.2
1500000,8
1498450,5.8
1489600,7.6
1488320,8.2
1471430,8
1464230,8.5
1413060,6.9
1400000,8.4
1400000,6.6
1400000,5.3
1400000,8.4
1400000,6.4
1400000,8.1
1376760,8.1
1369500,7.2
1358070,8.5
1352830,7.2
1331960,7.4
1330000,9
1323580,8.3
1301430,4.1
1300000,6.7
1300000,8.5
1300000,8.1
1260000,8.1
1236190,7.6
1200000,7.1
1200000,7.2
1200000,4.4
1186830,8.7
1181290,8.1
1180000,8
