Developer,Publisher,IP,Date,Gap,PlayerType,PriceMax,PriceMin,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,X1,NS,Youtube,TwitchPChannel,TwitchPViewer,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamPCU,SteamComments,SteamFollowers,Douban,GoogleTrends,IsFamous
9,9,8,44145,233,0,0,0,692,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1697777710,123904345,67514405,0,3236,6749,284130,7.9,84,7044,148,0,0,,289,3.125,1
6,8,5,44222,156,0,59.99,44.99,19,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1846374562,126098590,0,77393105.24,1286,0,0,8.7,84,94,70,428,1427,28888,45,0.01,1
9,9,0,44281,97,1,59.99,19.99,9,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1968782216,126098590,68683910,83202355.21,112959,45,7314,8.4,51,1149,69,16,181,7623,13,0.26,1
1,5,0,44341,37,0,59.99,59.99,287,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2101406084,126098590,68683910,0,137614,5000,182158,6.8,67,821,110,10237,13103,,18,2.631578947,1
9,9,10,44148,230,2,0,0,387,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1703341460,124050628,67592372,0,129519,23867,544486,4.2,76,2777,124,0,0,,152,0.91,1
10,9,9,44175,203,0,59.99,59.99,3838,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1754225359,125367175,68294075,0,375867,35125,1126038,7.1,86,43708,145,15703,422696,1184160,2278,50,1
5,7,0,44167,211,0,39.99,19.99,86,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1738995452,124977087,68086163,72311416.28,63,201,38640,8.2,68,134,73,392,4162,62205,4,1.219512195,1
3,5,0,44326,52,2,29.99,22.49,33,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2067452316,126098590,68683910,0,33193,918,93497,7.3,68,85,58,575,5967,22396,3,0.12,1
2,9,0,44281,97,1,0,0,147,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1968782216,126098590,68683910,0,490555,1072,227571,9.3,89,1130,116,12717,32769,88522,282,2.631578947,1
8,8,5,44147,231,2,0,0,6,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124001867,67566383,70539916.05,656,40,24076,6.6,70,43,19,0,0,,23,0.86,1
0,4,0,44336,42,1,14.99,11.24,8,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2090027931,126098590,68683910,88969654.3,0,48,37328,0,66,0,9,242,576,5186,1,0.07,0
5,8,2,44238,140,0,0,0,266,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1878813112,126098590,68683910,78931038.83,54915,1893,125493,8.5,83,549,147,1111,0,29349,4,0.07,1
8,10,9,44147,231,0,0,0,287,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,124001867,0,0,19998,1749,190903,7.6,85,2031,111,0,0,,86,0,1
8,9,7,44330,48,0,59.99,49.79,194,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2076453762,126098590,68683910,0,37714,2610,53714,6.3,90,1037,92,0,13568,,1,2,1
7,9,8,44302,76,2,0,0,15,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126098590,68683910,0,39796,2008,40946,6.9,81,351,50,0,0,,0,2.040816327,1
8,8,8,44281,97,1,0,0,50,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83202355.21,90112,3436,129540,9.1,88,597,120,0,0,,822,5,1
5,5,8,44347,31,0,39.99,33.99,55,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2115139953,126098590,68683910,0,0,280,55118,6.4,61,73,48,5452,14,,3,1.098901099,1
3,4,2,44187,191,1,9.99,7.99,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777315412,125952307,0,74123175.6,267,0,0,,,0,0,149,5695,18848,32,0,0
8,10,10,44316,62,0,0,0,24,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86832038.82,20,2224,112450,,,0,0,0,0,,16,0.21,1
0,8,4,44309,69,0,59.99,44.99,,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2029620585,126098590,68683910,0,0,2260,64809,8.7,83,494,111,1981,11310,47326,164,0.02,1
0,0,0,44348,30,1,19.99,0,20,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2117437460,126098590,68683910,0,0,72,46732,7.6,72,17,17,0,1213,,7,0.41,1
7,9,0,44287,91,1,59.99,38.99,148,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1981666804,126098590,68683910,0,297,6539,178993,7.1,74,1005,96,5963,46789,119754,60,9.090909091,1
7,7,8,44250,128,0,59.99,40.19,,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1903507612,126098590,0,80102602.87,3,692,29003,7.9,84,396,112,798,6606,26697,4,1.075268817,1
8,8,8,44323,55,0,79.99,79.99,,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2060726318,126098590,68683910,0,254421,15093,645130,8.7,84,2718,148,9636,681,41791,1044,9.090909091,1
2,5,1,44146,232,0,39.99,27.99,29,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1699630313,123953106,0,70452383.07,30,170,24646,8.4,82,114,58,1360,2810,28008,119,0.12,1
5,5,4,44278,100,0,0,0,,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7124,191,23908,7.3,71,59,59,0,0,,42,0.35,1
10,10,10,44239,139,1,0,0,,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79028072.95,4017,326,33143,8.6,89,432,120,0,0,,211,1.265822785,1
