ds,y
1 ,2080
2 ,1273
3 ,767
4 ,513
5 ,398
6 ,242
7 ,209
8 ,165
9 ,227
10 ,296
11 ,287
12 ,236
13 ,222
14 ,199
15 ,129
16 ,121
17 ,103
18 ,106
19 ,103
20 ,72
21 ,87
22 ,89
23 ,73
24 ,66
25 ,56
26 ,43
27 ,37
28 ,32
29 ,29
30 ,41
31 ,36
32 ,29
33 ,21
34 ,23
35 ,20
36 ,28
37 ,162
38 ,130
39 ,81
40 ,66
41 ,33
42 ,22
43 ,28
44 ,16
45 ,24
46 ,16
47 ,24
48 ,11
49 ,11
50 ,7
51 ,7
52 ,12
53 ,16
54 ,18
55 ,20
56 ,12
57 ,20
58 ,13
59 ,9
60 ,7
61 ,10
62 ,16
63 ,16
64 ,32
65 ,40
66 ,28
67 ,61
68 ,48
69 ,32
70 ,36
71 ,35
72 ,39
73 ,24
74 ,42
75 ,28
76 ,24
77 ,30
78 ,26
79 ,21
80 ,36
81 ,27
82 ,27
83 ,34
84 ,23
85 ,24
86 ,19
87 ,18
88 ,17
89 ,14
90 ,29
91 ,23
92 ,28
93 ,22
94 ,25
95 ,22
96 ,27
97 ,16
98 ,22
99 ,20
100 ,15
101 ,14
102 ,24
103 ,26
104 ,19
105 ,17
106 ,16
107 ,23
108 ,23
109 ,21
110 ,19
111 ,10
112 ,17
113 ,26
114 ,30
115 ,26
116 ,16
117 ,12
118 ,27
119 ,16
120 ,24
121 ,26
122 ,20
123 ,23
124 ,12
125 ,28
126 ,20
127 ,18
128 ,14
129 ,15
130 ,35
131 ,26
132 ,23
133 ,13
134 ,19
135 ,23
136 ,32
137 ,38
138 ,24
139 ,18
140 ,20
141 ,32
142 ,25
143 ,33
144 ,33
145 ,24
146 ,30
147 ,25
148 ,24
149 ,23
150 ,21
151 ,23
152 ,30
153 ,20
154 ,14
155 ,15
156 ,32
157 ,33
158 ,26
159 ,30
160 ,23
161 ,21
162 ,32
163 ,19
164 ,16
165 ,20
166 ,25
167 ,31
168 ,17
169 ,23
170 ,15
171 ,10
172 ,4
173 ,14
174 ,10
175 ,11
176 ,6
177 ,15
178 ,11
179 ,27
180 ,16
181 ,11
182 ,20
183 ,10
184 ,122
185 ,86
186 ,66
187 ,32
188 ,25
189 ,30
190 ,23
191 ,25
192 ,64
193 ,55
194 ,47
195 ,61
196 ,85
197 ,65
198 ,77
199 ,52
200 ,56
201 ,53
202 ,53
203 ,37
204 ,51
205 ,44
206 ,40
207 ,33
208 ,26
209 ,40
210 ,41
211 ,29
212 ,23
213 ,18
214 ,26
215 ,20
216 ,29
217 ,20
218 ,24
219 ,26
220 ,29
221 ,38
222 ,31
223 ,24
224 ,37
225 ,24
226 ,69
227 ,147
228 ,74
229 ,56
230 ,45
231 ,77
232 ,75
233 ,65
234 ,47
235 ,31
236 ,33
237 ,34
238 ,31
239 ,29
240 ,56
241 ,46
242 ,65
243 ,83
244 ,49
245 ,52
246 ,40
247 ,37
248 ,55
249 ,70
250 ,66
251 ,138
252 ,113
253 ,102
254 ,774
255 ,657
256 ,535
257 ,422
258 ,207
259 ,156
260 ,225
261 ,152
262 ,166
263 ,168
264 ,170
265 ,98
266 ,93
267 ,75
268 ,75
269 ,68
270 ,91
271 ,62
272 ,42
273 ,41
274 ,38
275 ,41
276 ,35
277 ,36
278 ,22
279 ,36
280 ,37
281 ,21
282 ,35
283 ,26
284 ,40
285 ,40
286 ,37
287 ,45
288 ,38
289 ,1117
290 ,923
291 ,648
292 ,557
293 ,2861
294 ,3348
295 ,2511
296 ,1853
297 ,2825
298 ,1793
299 ,1269
300 ,713
301 ,247
302 ,196
303 ,285
304 ,387
305 ,273
306 ,253
307 ,178
308 ,178
309 ,174
310 ,171
311 ,235
312 ,238
313 ,157
314 ,179
315 ,186
316 ,180
317 ,160
318 ,140
319 ,166
320 ,158
321 ,129
322 ,144
323 ,148
324 ,126
325 ,111
326 ,132
327 ,131
328 ,130
329 ,127
330 ,108
331 ,92
332 ,135
333 ,166
334 ,176
335 ,174
336 ,157
337 ,156
338 ,209
339 ,221
340 ,225
341 ,255
342 ,267
343 ,269
344 ,275
345 ,1316
346 ,1600
347 ,1815
348 ,2058
349 ,1927
350 ,1675
351 ,2837
352 ,9876
353 ,5038
354 ,3629
355 ,3222
356 ,3379
357 ,2763
358 ,2551
359 ,2162
360 ,2060
361 ,1963
362 ,1784
363 ,1612
364 ,1345
365 ,1175
366 ,1045
367 ,1105
368 ,1149
369 ,1037
370 ,1083
371 ,1011
372 ,845
373 ,900
374 ,942
375 ,955
376 ,866
377 ,864
378 ,677
379 ,653
380 ,630
381 ,645
382 ,677
383 ,665
384 ,514
385 ,395
386 ,404
387 ,340
388 ,394
389 ,457
390 ,391
391 ,286
392 ,229
393 ,206
394 ,204
395 ,221
396 ,253
397 ,259
398 ,178
399 ,173
400 ,192
401 ,219
402 ,214
403 ,237
404 ,241
405 ,237
406 ,168
407 ,166
408 ,177
409 ,156
410 ,183
411 ,176
412 ,153
413 ,172
414 ,161
415 ,141
416 ,135
417 ,153
418 ,151
419 ,121
420 ,143
421 ,106
422 ,136
423 ,121
424 ,172
425 ,141
426 ,172
