ds,promotion
2021/2/3,0
2021/2/4,0
2021/2/5,0
2021/2/6,0
2021/2/7,0
2021/2/8,0
2021/2/9,0
2021/2/10,0
2021/2/11,0
2021/2/12,0
2021/2/13,0
2021/2/14,0
2021/2/15,0
2021/2/16,0
2021/2/17,0
2021/2/18,0
2021/2/19,0
2021/2/20,0
2021/2/21,0
2021/2/22,0
2021/2/23,0
2021/2/24,0
2021/2/25,0
2021/2/26,0
2021/2/27,0
2021/2/28,0
2021/3/1,0
2021/3/2,0
2021/3/3,0
2021/3/4,0
2021/3/5,0
2021/3/6,0
2021/3/7,0
2021/3/8,0
2021/3/9,0
2021/3/10,0
2021/3/11,0
2021/3/12,0
2021/3/13,0
2021/3/14,0
2021/3/15,0
2021/3/16,0
2021/3/17,0
2021/3/18,0
2021/3/19,0
2021/3/20,0
2021/3/21,0
2021/3/22,0
2021/3/23,0
2021/3/24,0
2021/3/25,0
2021/3/26,0
2021/3/27,0
2021/3/28,0
2021/3/29,0
2021/3/30,0
2021/3/31,0
2021/4/1,0
2021/4/2,0
2021/4/3,0
2021/4/4,0
2021/4/5,0
2021/4/6,0
2021/4/7,0
2021/4/8,0
2021/4/9,0
2021/4/10,0
2021/4/11,0
2021/4/12,0
2021/4/13,0
2021/4/14,0
2021/4/15,0
2021/4/16,0
2021/4/17,0
2021/4/18,0
2021/4/19,0
2021/4/20,0
2021/4/21,0
2021/4/22,0
2021/4/23,0
2021/4/24,0
2021/4/25,0
2021/4/26,0
2021/4/27,0
2021/4/28,0
2021/4/29,0
2021/4/30,0
2021/5/1,0
2021/5/2,0
2021/5/3,0
2021/5/4,0
2021/5/5,0
2021/5/6,0
2021/5/7,0
2021/5/8,0
2021/5/9,0
2021/5/10,0
2021/5/11,0
2021/5/12,0
2021/5/13,0
2021/5/14,0
2021/5/15,0
2021/5/16,0
2021/5/17,0
2021/5/18,0
2021/5/19,0
2021/5/20,0
2021/5/21,0
2021/5/22,0
2021/5/23,0
2021/5/24,0
2021/5/25,0
2021/5/26,0
2021/5/27,0
2021/5/28,0
2021/5/29,0
2021/5/30,0
2021/5/31,0
2021/6/1,0
2021/6/2,0
2021/6/3,0
2021/6/4,0
2021/6/5,0
2021/6/6,0
2021/6/7,0
2021/6/8,0
2021/6/9,0
2021/6/10,0
2021/6/11,0
2021/6/12,0
2021/6/13,0
2021/6/14,0
2021/6/15,0
2021/6/16,0
2021/6/17,0
2021/6/18,0
2021/6/19,0
2021/6/20,0
2021/6/21,0
2021/6/22,0
2021/6/23,0
2021/6/24,0.17
2021/6/25,0.17
2021/6/26,0.17
2021/6/27,0.17
2021/6/28,0.17
2021/6/29,0.17
2021/6/30,0.17
2021/7/1,0.17
2021/7/2,0.17
2021/7/3,0.17
2021/7/4,0.17
2021/7/5,0.17
2021/7/6,0.17
2021/7/7,0.17
2021/7/8,0.17
2021/7/9,0
2021/7/10,0
2021/7/11,0
2021/7/12,0
2021/7/13,0
2021/7/14,0
2021/7/15,0
2021/7/16,0
2021/7/17,0
2021/7/18,0
2021/7/19,0
2021/7/20,0
2021/7/21,0
2021/7/22,0
2021/7/23,0
2021/7/24,0
2021/7/25,0
2021/7/26,0
2021/7/27,0
2021/7/28,0
2021/7/29,0.25
2021/7/30,0.25
2021/7/31,0.25
2021/8/1,0.25
2021/8/2,0.25
2021/8/3,0
2021/8/4,0
2021/8/5,0
2021/8/6,0
2021/8/7,0
2021/8/8,0
2021/8/9,0
2021/8/10,0
2021/8/11,0
2021/8/12,0
2021/8/13,0
2021/8/14,0
2021/8/15,0
2021/8/16,0
2021/8/17,0
2021/8/18,0
2021/8/19,0
2021/8/20,0
2021/8/21,0
2021/8/22,0
2021/8/23,0
2021/8/24,0
2021/8/25,0
2021/8/26,0
2021/8/27,0
2021/8/28,0
2021/8/29,0
2021/8/30,0
2021/8/31,0
2021/9/1,0
2021/9/2,0
2021/9/3,0
2021/9/4,0
2021/9/5,0
2021/9/6,0
2021/9/7,0
2021/9/8,0
2021/9/9,0.34
2021/9/10,0.34
2021/9/11,0.34
2021/9/12,0.34
2021/9/13,0.34
2021/9/14,0.34
2021/9/15,0.34
2021/9/16,0.34
2021/9/17,0.34
2021/9/18,0.34
2021/9/19,0.34
2021/9/20,0.34
2021/9/21,0
2021/9/22,0
2021/9/23,0
2021/9/24,0
2021/9/25,0
2021/9/26,0
2021/9/27,0
2021/9/28,0
2021/9/29,0
2021/9/30,0
2021/10/1,0
2021/10/2,0
2021/10/3,0
2021/10/4,0
2021/10/5,0
2021/10/6,0
2021/10/7,0
2021/10/8,0
2021/10/9,0
2021/10/10,0
2021/10/11,0
2021/10/12,0
2021/10/13,0
2021/10/14,0
2021/10/15,0
2021/10/16,0
2021/10/17,0
2021/10/18,0
2021/10/19,0
2021/10/20,0
2021/10/21,0
2021/10/22,0
2021/10/23,0
2021/10/24,0
2021/10/25,0
2021/10/26,0
2021/10/27,0
2021/10/28,0.34
2021/10/29,0.34
2021/10/30,0.34
2021/10/31,0.34
2021/11/1,0.34
2021/11/2,0.34
2021/11/3,0.34
2021/11/4,0.34
2021/11/5,0.34
2021/11/6,0.34
2021/11/7,0.34
2021/11/8,0.34
2021/11/9,0
2021/11/10,0
2021/11/11,0
2021/11/12,0
2021/11/13,0
2021/11/14,0
2021/11/15,0
2021/11/16,0
2021/11/17,0
2021/11/18,0
2021/11/19,0
2021/11/20,0
2021/11/21,0
2021/11/22,0
2021/11/23,0
2021/11/24,0.42
2021/11/25,0.42
2021/11/26,0.42
2021/11/27,0.42
2021/11/28,0.42
2021/11/29,0.42
2021/11/30,0.42
2021/12/1,0.42
2021/12/2,0
2021/12/3,0
2021/12/4,0
2021/12/5,0
2021/12/6,0
2021/12/7,0
2021/12/8,0
2021/12/9,0
2021/12/10,0
2021/12/11,0
2021/12/12,0
2021/12/13,0
2021/12/14,0
2021/12/15,0
2021/12/16,0
2021/12/17,0
2021/12/18,0
2021/12/19,0
2021/12/20,0
2021/12/21,0
2021/12/22,0.5
2021/12/23,0.5
2021/12/24,0.5
2021/12/25,0.5
2021/12/26,0.5
2021/12/27,0.5
2021/12/28,0.5
2021/12/29,0.5
2021/12/30,0.5
2021/12/31,0.5
2022/1/1,0.5
2022/1/2,0.5
2022/1/3,0.5
2022/1/4,0.5
2022/1/5,0.5
2022/1/6,0
2022/1/7,0
2022/1/8,0
2022/1/9,0
2022/1/10,0
2022/1/11,0
2022/1/12,0
2022/1/13,0
2022/1/14,0
2022/1/15,0
2022/1/16,0
